p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.84E-110,0.971070343,0.18,0.006,5.56E-106,b_cells,BLK
3.11E-110,0.763623817,0.818,0.687,9.41E-106,b_cells,RPS20
1.16E-109,0.773330283,0.802,0.644,3.50E-105,b_cells,RPS23
7.03E-107,0.714603541,0.826,0.712,2.13E-102,b_cells,RPS21
2.07E-105,-0.83724822,0.69,0.918,6.25E-101,b_cells,VIM
4.56E-104,1.010791011,0.158,0.005,1.38E-99,b_cells,FCRL2
9.27E-104,-1.274816573,0.464,0.792,2.80E-99,b_cells,MT2A
5.97E-101,0.315523145,0.96,0.816,1.80E-96,b_cells,HLA-DRA
9.74E-101,0.849418385,0.761,0.573,2.94E-96,b_cells,RPS18
5.18E-100,-1.286593517,0.607,0.806,1.56E-95,b_cells,COL1A2
3.94E-99,0.750830781,0.793,0.626,1.19E-94,b_cells,RPL19
1.29E-97,0.700751856,0.785,0.645,3.89E-93,b_cells,RPL18
2.82E-97,0.657870669,0.919,0.814,8.51E-93,b_cells,RPS19
1.18E-96,0.646981088,0.848,0.741,3.55E-92,b_cells,RPL30
3.43E-96,0.967727921,0.668,0.352,1.03E-91,b_cells,HLA-DQA1
3.74E-96,0.654398722,0.864,0.755,1.13E-91,b_cells,RPL27A
1.08E-93,-1.015942068,0.347,0.746,3.27E-89,b_cells,ANXA1
1.63E-93,0.623682591,0.943,0.867,4.91E-89,b_cells,RPLP1
4.73E-93,0.880383187,0.143,0.004,1.43E-88,b_cells,FCRLA
1.24E-90,1.172555665,0.277,0.039,3.73E-86,b_cells,FAIM3
3.19E-90,0.667578544,0.783,0.682,9.64E-86,b_cells,RPL37
5.35E-90,0.691093865,0.754,0.625,1.62E-85,b_cells,RPS13
7.11E-90,0.797767712,0.677,0.507,2.15E-85,b_cells,RPS27A
2.38E-89,1.01239799,0.18,0.013,7.19E-85,b_cells,SPIB
5.84E-89,0.615134719,0.815,0.702,1.76E-84,b_cells,RPL35
1.61E-88,0.53480803,0.899,0.727,4.87E-84,b_cells,HLA-DRB1
2.03E-88,0.768247024,0.681,0.495,6.13E-84,b_cells,RPL26
7.26E-88,0.828805419,0.8,0.483,2.19E-83,b_cells,CXCR4
5.18E-87,-0.992528313,0.967,0.971,1.56E-82,b_cells,PRG4
2.61E-86,0.616403978,0.862,0.748,7.88E-82,b_cells,RPS3
4.90E-86,1.068390999,0.539,0.256,1.48E-81,b_cells,BIRC3
8.09E-86,0.948091283,0.196,0.019,2.45E-81,b_cells,BLNK
1.27E-85,1.11354119,0.266,0.048,3.83E-81,b_cells,STRBP
1.34E-85,1.051566734,0.229,0.03,4.05E-81,b_cells,WDFY4
1.55E-85,0.765549224,0.82,0.668,4.69E-81,b_cells,BTG1
1.68E-85,0.704264974,0.739,0.594,5.07E-81,b_cells,RPS15
2.50E-85,-1.224083655,0.727,0.84,7.55E-81,b_cells,CLU
2.27E-84,0.325325865,0.848,0.687,6.85E-80,b_cells,IGHM
3.97E-84,0.641297898,0.905,0.812,1.20E-79,b_cells,RPS14
1.11E-83,0.831777864,0.703,0.413,3.36E-79,b_cells,LAPTM5
1.16E-83,0.704381935,0.78,0.634,3.52E-79,b_cells,RPL31
8.04E-83,0.661419211,0.683,0.592,2.43E-78,b_cells,RPL39
1.30E-82,-1.161276981,0.444,0.724,3.93E-78,b_cells,LUM
2.39E-82,0.639953527,0.835,0.724,7.21E-78,b_cells,RPL28
1.81E-81,-1.122595708,0.437,0.725,5.46E-77,b_cells,C1R
3.78E-81,0.717632092,0.629,0.49,1.14E-76,b_cells,RPS2
5.49E-81,-1.159004548,0.25,0.627,1.66E-76,b_cells,CTSD
7.92E-81,0.628789777,0.8,0.702,2.39E-76,b_cells,RPL35A
9.43E-81,0.566434998,0.906,0.824,2.85E-76,b_cells,RPS12
3.70E-80,0.93461802,0.572,0.275,1.12E-75,b_cells,HLA-DQB1
5.49E-80,0.762295531,0.589,0.428,1.66E-75,b_cells,RPL23A
8.47E-80,0.698805388,0.73,0.546,2.56E-75,b_cells,RPS15A
1.40E-79,0.634084422,0.723,0.637,4.24E-75,b_cells,RPS5
1.73E-79,-1.159008661,0.174,0.56,5.21E-75,b_cells,LRP1
2.78E-78,0.835881403,0.561,0.358,8.38E-74,b_cells,RPS27
4.93E-78,1.018023732,0.503,0.196,1.49E-73,b_cells,LTB
3.74E-77,-0.688936182,0.714,0.918,1.13E-72,b_cells,S100A4
5.21E-77,-0.809526227,0.479,0.8,1.57E-72,b_cells,ITM2B
8.47E-77,-1.01534385,0.688,0.841,2.56E-72,b_cells,PLA2G2A
1.02E-75,0.813903029,0.125,0.004,3.08E-71,b_cells,TNFRSF13B
1.77E-75,1.153520069,0.277,0.057,5.34E-71,b_cells,LRMP
2.41E-75,0.586858703,0.794,0.715,7.28E-71,b_cells,RPL27
1.26E-74,1.054481749,0.268,0.047,3.81E-70,b_cells,PARP15
2.66E-74,0.641539453,0.706,0.576,8.04E-70,b_cells,RPL36
5.17E-74,0.611775959,0.681,0.608,1.56E-69,b_cells,FAU
7.99E-74,1.078104257,0.295,0.068,2.41E-69,b_cells,1-Mar
9.14E-74,0.913798277,0.444,0.257,2.76E-69,b_cells,SP110
4.18E-73,0.838912092,0.587,0.318,1.26E-68,b_cells,HLA-DRB5
3.16E-72,0.863637527,0.138,0.008,9.56E-68,b_cells,GAPT
4.17E-72,1.12621085,0.35,0.092,1.26E-67,b_cells,FAM65B
4.36E-72,-0.907268892,0.229,0.609,1.32E-67,b_cells,LMNA
5.76E-72,1.023659768,0.305,0.105,1.74E-67,b_cells,SWAP70
3.19E-71,0.899541121,0.512,0.223,9.62E-67,b_cells,PTPRCAP
5.44E-71,-0.793916828,0.602,0.833,1.64E-66,b_cells,PSAP
6.84E-70,1.087007364,0.295,0.076,2.06E-65,b_cells,SELL
8.55E-70,0.675239776,0.677,0.531,2.58E-65,b_cells,RPS25
4.49E-69,-0.834470396,0.727,0.879,1.36E-64,b_cells,TIMP1
8.42E-69,0.817600443,0.127,0.006,2.54E-64,b_cells,KIAA0125
1.87E-68,-1.220622025,0.272,0.602,5.64E-64,b_cells,CCDC80
2.01E-68,0.696977939,0.694,0.554,6.07E-64,b_cells,RPL3
1.00E-67,0.637300462,0.738,0.624,3.02E-63,b_cells,RPL12
1.17E-67,0.519895761,0.875,0.798,3.53E-63,b_cells,RPL37A
2.07E-67,0.614138831,0.747,0.563,6.25E-63,b_cells,HLA-DPB1
2.76E-67,1.049224577,0.303,0.079,8.33E-63,b_cells,RASGRP2
2.22E-66,-1.204655845,0.218,0.551,6.70E-62,b_cells,CYP1B1
3.91E-66,-1.186350127,0.235,0.558,1.18E-61,b_cells,MMP2
6.71E-66,0.271751018,1,1,2.03E-61,b_cells,MALAT1
7.81E-66,1.036504958,0.299,0.086,2.36E-61,b_cells,SP140
2.59E-65,-0.742696104,0.749,0.911,7.84E-61,b_cells,FOS
4.39E-64,0.816897768,0.141,0.017,1.33E-59,b_cells,HLA-DOB
4.82E-64,0.849431781,0.165,0.029,1.45E-59,b_cells,SNX22
5.54E-64,0.682192842,0.545,0.412,1.67E-59,b_cells,RPL10A
1.82E-63,-0.762562009,0.532,0.807,5.49E-59,b_cells,CST3
4.24E-63,0.63157697,0.672,0.478,1.28E-58,b_cells,HLA-DPA1
4.36E-63,-0.788228545,0.334,0.68,1.32E-58,b_cells,CD63
4.68E-63,0.540337421,0.791,0.709,1.41E-58,b_cells,RPL23
1.11E-62,0.941200155,0.154,0.021,3.36E-58,b_cells,CD72
1.57E-62,-0.660090837,0.62,0.861,4.76E-58,b_cells,S100A6
2.49E-62,0.870968182,0.176,0.027,7.52E-58,b_cells,HVCN1
6.08E-62,-1.036774389,0.16,0.504,1.84E-57,b_cells,CALD1
8.88E-62,0.907962642,0.237,0.092,2.68E-57,b_cells,ORAI2
1.34E-61,0.561836028,0.683,0.597,4.04E-57,b_cells,RPL4
1.66E-61,0.832469869,0.161,0.021,5.01E-57,b_cells,SCIMP
1.70E-61,-0.915991305,0.383,0.671,5.12E-57,b_cells,C1S
1.72E-61,0.562042032,0.881,0.752,5.19E-57,b_cells,MT-CO1
2.19E-61,-0.85372959,0.284,0.614,6.62E-57,b_cells,TYMP
8.13E-61,0.894237349,0.268,0.118,2.46E-56,b_cells,STX7
1.80E-60,0.837119018,0.206,0.06,5.44E-56,b_cells,CYB561A3
1.98E-60,-1.100913297,0.226,0.547,5.97E-56,b_cells,FAM84A
2.34E-60,-1.133096754,0.158,0.477,7.08E-56,b_cells,IGFBP4
2.42E-60,0.500825224,0.846,0.781,7.30E-56,b_cells,RPS16
5.58E-60,-0.876243173,0.239,0.586,1.69E-55,b_cells,TIMP2
8.20E-60,-1.028656073,0.358,0.594,2.48E-55,b_cells,SPARCL1
1.69E-59,0.754697816,0.13,0.017,5.09E-55,b_cells,CPNE5
1.76E-59,0.497494258,0.818,0.77,5.31E-55,b_cells,RPS4X
2.15E-59,0.607484864,0.655,0.524,6.51E-55,b_cells,RPL14
4.97E-59,0.778022896,0.448,0.303,1.50E-54,b_cells,PARP14
2.15E-58,0.492862192,0.806,0.744,6.50E-54,b_cells,RPL38
2.18E-58,-0.75632658,0.134,0.459,6.59E-54,b_cells,LGALS3
2.59E-58,-0.998733427,0.134,0.459,7.83E-54,b_cells,TNFAIP2
3.36E-58,-0.908701423,0.147,0.482,1.01E-53,b_cells,DAB2
3.88E-58,0.751509534,0.455,0.3,1.17E-53,b_cells,ITSN2
8.68E-58,0.842030074,0.163,0.025,2.62E-53,b_cells,POU2AF1
1.28E-57,-1.069919089,0.292,0.597,3.88E-53,b_cells,TIMP3
4.66E-57,-0.968323783,0.306,0.607,1.41E-52,b_cells,FSTL1
7.75E-57,0.449634869,0.846,0.756,2.34E-52,b_cells,PABPC1
8.73E-57,-1.040642459,0.152,0.463,2.64E-52,b_cells,EFEMP1
6.05E-56,-0.790713315,0.18,0.514,1.83E-51,b_cells,ANXA2
8.36E-56,-0.873483972,0.294,0.611,2.53E-51,b_cells,SERPING1
8.71E-56,-1.018999027,0.349,0.615,2.63E-51,b_cells,DCN
2.17E-55,-0.733321557,0.387,0.702,6.54E-51,b_cells,ZFP36
2.25E-55,-0.872634624,0.262,0.579,6.80E-51,b_cells,IFITM3
3.57E-55,-0.919671405,0.266,0.583,1.08E-50,b_cells,GSN
1.73E-54,0.598203269,0.736,0.68,5.24E-50,b_cells,TXNIP
2.87E-54,0.475925394,0.785,0.73,8.67E-50,b_cells,RPL8
3.32E-54,-0.764996246,0.09,0.386,1.00E-49,b_cells,NUCB2
4.14E-54,0.712806025,0.413,0.284,1.25E-49,b_cells,RPSA
4.40E-54,-0.888585933,0.193,0.508,1.33E-49,b_cells,PTRF
7.87E-54,-1.068376543,0.277,0.53,2.38E-49,b_cells,CXCL12
1.52E-53,-0.883749953,0.314,0.598,4.58E-49,b_cells,COL6A2
1.97E-53,-0.375748605,0.473,0.347,5.96E-49,b_cells,IGKC
2.75E-53,0.981068475,0.292,0.096,8.29E-49,b_cells,IRF8
3.25E-53,-1.04064494,0.161,0.467,9.82E-49,b_cells,SOD2
3.64E-53,-0.679674786,0.462,0.751,1.10E-48,b_cells,S100A10
5.11E-53,-1.04978022,0.341,0.614,1.54E-48,b_cells,EGR1
5.66E-53,0.750415796,0.112,0.006,1.71E-48,b_cells,STAP1
1.09E-52,0.752824524,0.273,0.176,3.30E-48,b_cells,CCDC50
1.15E-52,-0.980278015,0.503,0.725,3.47E-48,b_cells,COL3A1
1.22E-52,-0.895865124,0.272,0.55,3.69E-48,b_cells,SRGN
1.35E-52,-0.733627387,0.653,0.789,4.07E-48,b_cells,CRTAC1
1.35E-52,0.695295834,0.477,0.349,4.08E-48,b_cells,SP100
1.90E-52,0.711934487,0.116,0.01,5.75E-48,b_cells,AFF3
3.01E-52,-0.850576406,0.455,0.704,9.08E-48,b_cells,HTRA1
3.12E-52,0.841328523,0.259,0.095,9.43E-48,b_cells,SYK
4.42E-52,0.464254735,0.739,0.695,1.33E-47,b_cells,UBA52
5.61E-52,0.856252306,0.176,0.031,1.69E-47,b_cells,BTK
5.75E-52,0.478540799,0.67,0.632,1.74E-47,b_cells,RPS9
5.87E-52,0.492132504,0.602,0.536,1.77E-47,b_cells,RPL5
7.13E-52,-0.685983063,0.27,0.602,2.15E-47,b_cells,APLP2
8.35E-52,-0.683414972,0.145,0.452,2.52E-47,b_cells,DSTN
9.76E-52,-0.843811478,0.237,0.545,2.95E-47,b_cells,COL6A1
1.31E-51,-0.849741232,0.15,0.459,3.95E-47,b_cells,HSPB1
1.46E-51,-1.150532048,0.323,0.571,4.42E-47,b_cells,COL1A1
4.66E-51,-0.832935122,0.211,0.522,1.41E-46,b_cells,NNMT
1.27E-50,-1.023030893,0.194,0.484,3.83E-46,b_cells,TNC
2.61E-50,0.769249241,0.123,0.011,7.88E-46,b_cells,CLECL1
4.14E-50,-0.494168245,0.444,0.734,1.25E-45,b_cells,AHNAK
5.50E-50,-0.670663261,0.209,0.523,1.66E-45,b_cells,RRBP1
6.09E-50,-0.919724048,0.341,0.628,1.84E-45,b_cells,SPARC
6.71E-50,-0.615954762,0.119,0.394,2.03E-45,b_cells,DPYSL2
1.16E-49,-0.739796713,0.398,0.655,3.51E-45,b_cells,CTSB
1.47E-49,-1.09228745,0.138,0.413,4.43E-45,b_cells,CTGF
2.08E-49,-0.98240849,0.11,0.396,6.28E-45,b_cells,MT1E
2.14E-49,-0.909663968,0.446,0.675,6.46E-45,b_cells,AC104820.2
4.95E-49,-0.718631789,0.149,0.449,1.49E-44,b_cells,APP
6.41E-49,0.803504481,0.174,0.033,1.94E-44,b_cells,LILRB1
6.85E-49,0.680576327,0.417,0.327,2.07E-44,b_cells,RPS28
7.89E-49,-0.818894337,0.284,0.579,2.38E-44,b_cells,IFI27
1.92E-48,0.630358015,0.376,0.299,5.80E-44,b_cells,SMIM14
2.35E-48,-0.670270501,0.185,0.494,7.10E-44,b_cells,ANXA5
5.12E-48,-1.119138601,0.103,0.377,1.55E-43,b_cells,FYB
7.71E-48,0.676668549,0.406,0.233,2.33E-43,b_cells,6-Sep
8.20E-48,-0.70907414,0.053,0.305,2.48E-43,b_cells,CYBRD1
8.77E-48,-1.315581407,0.213,0.434,2.65E-43,b_cells,C1QB
8.99E-48,0.479918609,0.655,0.604,2.72E-43,b_cells,PNISR
1.08E-47,-0.808899319,0.264,0.567,3.25E-43,b_cells,PCOLCE
3.01E-47,-0.681167069,0.163,0.452,9.08E-43,b_cells,DST
3.91E-47,-0.459429739,0.798,0.945,1.18E-42,b_cells,NEAT1
5.24E-47,-0.886135131,0.138,0.424,1.58E-42,b_cells,CAV1
6.13E-47,-0.719929931,0.145,0.423,1.85E-42,b_cells,NBL1
6.65E-47,0.419420085,0.587,0.57,2.01E-42,b_cells,RPL15
7.59E-47,-0.743497845,0.094,0.356,2.29E-42,b_cells,ENAH
9.15E-47,0.587378013,0.473,0.408,2.76E-42,b_cells,PNN
9.89E-47,0.430939068,0.936,0.884,2.99E-42,b_cells,MT-CO2
1.09E-46,0.474274877,0.494,0.468,3.28E-42,b_cells,NACA
1.30E-46,0.741222737,0.422,0.213,3.92E-42,b_cells,HLA-DQA2
1.36E-46,0.777406883,0.343,0.172,4.10E-42,b_cells,STK17A
2.00E-46,-0.823422475,0.09,0.363,6.05E-42,b_cells,CFH
4.15E-46,0.814367568,0.233,0.088,1.25E-41,b_cells,CIITA
6.51E-46,-0.823152374,0.083,0.342,1.97E-41,b_cells,SCARA5
6.55E-46,-1.261881892,0.064,0.315,1.98E-41,b_cells,HSPA1A
8.15E-46,0.76142999,0.141,0.032,2.46E-41,b_cells,P2RX5
1.01E-45,-0.787559487,0.073,0.334,3.06E-41,b_cells,APOL1
1.02E-45,-0.601250886,0.183,0.473,3.10E-41,b_cells,LAPTM4A
1.06E-45,-0.794405307,0.233,0.516,3.21E-41,b_cells,ABI3BP
2.37E-45,-0.778029647,0.092,0.361,7.15E-41,b_cells,CD9
2.83E-45,0.628258968,0.418,0.306,8.55E-41,b_cells,GRB2
3.12E-45,0.521181378,0.536,0.463,9.42E-41,b_cells,RPL24
3.24E-45,0.816068649,0.251,0.109,9.77E-41,b_cells,SMC6
3.86E-45,0.753788733,0.255,0.113,1.17E-40,b_cells,NCOA3
4.68E-45,-0.424920937,0.193,0.466,1.41E-40,b_cells,CALR
5.10E-45,0.542251253,0.45,0.389,1.54E-40,b_cells,RPL22
5.27E-45,-0.757058334,0.272,0.571,1.59E-40,b_cells,ISLR
5.33E-45,0.718639811,0.457,0.258,1.61E-40,b_cells,HLA-DMB
5.82E-45,-1.068203777,0.24,0.446,1.76E-40,b_cells,C1QA
5.40E-44,-0.720974028,0.083,0.344,1.63E-39,b_cells,PTMS
6.60E-44,0.766763379,0.244,0.105,1.99E-39,b_cells,GGA2
1.12E-43,-0.871629101,0.099,0.363,3.38E-39,b_cells,CD68
1.15E-43,0.288410924,0.873,0.764,3.48E-39,b_cells,TMSB4X
1.47E-43,-0.535538754,0.257,0.548,4.44E-39,b_cells,CD99
1.78E-43,-0.700435556,0.22,0.492,5.38E-39,b_cells,RHOB
3.19E-43,0.710670548,0.163,0.062,9.63E-39,b_cells,CD40
3.31E-43,-0.785673454,0.117,0.387,1.00E-38,b_cells,CEBPD
3.52E-43,0.536095915,0.361,0.283,1.06E-38,b_cells,RPL7A
3.61E-43,0.64930685,0.336,0.197,1.09E-38,b_cells,RPS7
4.67E-43,-0.358971098,0.16,0.396,1.41E-38,b_cells,HDLBP
6.81E-43,-0.614125644,0.145,0.411,2.06E-38,b_cells,NUPR1
7.81E-43,0.783691427,0.281,0.104,2.36E-38,b_cells,LIMD2
8.15E-43,0.643656798,0.374,0.267,2.46E-38,b_cells,RPL9
9.99E-43,-0.563812614,0.206,0.491,3.02E-38,b_cells,RTN4
1.21E-42,-0.618970304,0.154,0.421,3.67E-38,b_cells,S100A11
1.41E-42,-0.871963074,0.099,0.354,4.26E-38,b_cells,VCAM1
1.49E-42,0.566419274,0.477,0.394,4.51E-38,b_cells,GLTSCR2
1.55E-42,0.614254865,0.424,0.362,4.67E-38,b_cells,BOD1L1
2.03E-42,0.506800564,0.378,0.328,6.14E-38,b_cells,ZFAS1
2.32E-42,-0.600466592,0.09,0.341,6.99E-38,b_cells,NFIC
2.59E-42,-0.801892527,0.044,0.272,7.81E-38,b_cells,NFIB
3.29E-42,-0.849178359,0.292,0.537,9.92E-38,b_cells,COL6A3
3.94E-42,0.698563268,0.194,0.117,1.19E-37,b_cells,MBD4
3.95E-42,0.526343491,0.492,0.427,1.19E-37,b_cells,MGEA5
4.87E-42,0.734562213,0.394,0.211,1.47E-37,b_cells,CD53
5.15E-42,-0.913604253,0.044,0.272,1.55E-37,b_cells,STEAP4
5.22E-42,-0.88450673,0.147,0.421,1.58E-37,b_cells,SEMA3C
9.41E-42,-0.832094095,0.22,0.441,2.84E-37,b_cells,APOE
1.14E-41,-0.660367477,0.455,0.662,3.44E-37,b_cells,CFD
1.25E-41,-0.884660693,0.05,0.278,3.78E-37,b_cells,ID2
1.54E-41,-0.79413557,0.073,0.317,4.65E-37,b_cells,EMP1
1.83E-41,-0.725771335,0.064,0.295,5.53E-37,b_cells,LAMB1
3.01E-41,-0.705627274,0.053,0.283,9.09E-37,b_cells,NFIX
4.26E-41,-0.734024295,0.046,0.272,1.29E-36,b_cells,CEBPB
5.04E-41,0.760837316,0.229,0.101,1.52E-36,b_cells,PPM1K
5.85E-41,0.637686276,0.105,0.022,1.77E-36,b_cells,CDCA7L
6.56E-41,-1.014185169,0.068,0.303,1.98E-36,b_cells,IGFBP5
6.59E-41,-0.675562682,0.198,0.467,1.99E-36,b_cells,PLAC9
6.67E-41,0.384379038,0.719,0.705,2.02E-36,b_cells,GNB2L1
8.16E-41,-0.62615881,0.101,0.352,2.46E-36,b_cells,CALU
1.13E-40,-0.692510958,0.099,0.354,3.42E-36,b_cells,PMP22
1.37E-40,-0.49172111,0.651,0.614,4.13E-36,b_cells,IGHG1
1.66E-40,-0.91939513,0.286,0.497,5.01E-36,b_cells,CHI3L2
1.70E-40,0.794182989,0.261,0.099,5.13E-36,b_cells,ATP2A3
1.72E-40,-0.751096189,0.097,0.349,5.20E-36,b_cells,CREB5
1.89E-40,0.702863111,0.172,0.066,5.71E-36,b_cells,CHD7
2.06E-40,-0.777734997,0.105,0.353,6.23E-36,b_cells,ITGBL1
2.12E-40,0.496341558,0.488,0.416,6.39E-36,b_cells,ARGLU1
3.04E-40,-0.452128987,0.11,0.346,9.18E-36,b_cells,PTTG1IP
3.82E-40,0.418561111,0.796,0.737,1.15E-35,b_cells,TSC22D3
3.92E-40,-0.549119323,0.191,0.465,1.18E-35,b_cells,P4HB
4.11E-40,0.680444503,0.29,0.172,1.24E-35,b_cells,PTPN1
4.16E-40,-0.657849472,0.134,0.391,1.26E-35,b_cells,PLTP
4.26E-40,0.679347165,0.305,0.183,1.29E-35,b_cells,PRDM2
4.61E-40,-0.734943718,0.09,0.338,1.39E-35,b_cells,GOLM1
4.93E-40,-0.708216956,0.051,0.274,1.49E-35,b_cells,PLXDC2
5.62E-40,0.608608104,0.444,0.316,1.70E-35,b_cells,HLA-DMA
9.10E-40,-0.646815862,0.039,0.248,2.75E-35,b_cells,RP11-572C15.6
1.02E-39,-0.834659768,0.083,0.327,3.09E-35,b_cells,SAMHD1
1.16E-39,-0.894171497,0.077,0.313,3.51E-35,b_cells,MAF
1.26E-39,-0.913752963,0.13,0.373,3.80E-35,b_cells,SGK1
1.78E-39,-1.245609516,0.068,0.291,5.38E-35,b_cells,IL32
1.90E-39,0.733184573,0.147,0.027,5.75E-35,b_cells,RASGRP3
1.94E-39,-0.438541974,0.261,0.519,5.87E-35,b_cells,ENO1
2.18E-39,-0.621650372,0.072,0.304,6.58E-35,b_cells,GOLIM4
2.77E-39,0.554106645,0.512,0.449,8.36E-35,b_cells,KLF2
3.17E-39,-0.67335985,0.031,0.237,9.57E-35,b_cells,NFIA
4.98E-39,-0.599391053,0.11,0.358,1.51E-34,b_cells,LIMA1
5.04E-39,-0.749685769,0.092,0.337,1.52E-34,b_cells,KLF4
5.56E-39,-0.520486647,0.117,0.359,1.68E-34,b_cells,EPB41L2
6.72E-39,0.597348438,0.248,0.165,2.03E-34,b_cells,RPL29
7.83E-39,-0.841394626,0.231,0.491,2.36E-34,b_cells,THBS4
8.69E-39,-0.668326684,0.053,0.27,2.63E-34,b_cells,PLEKHA4
1.13E-38,0.562740027,0.165,0.122,3.42E-34,b_cells,PPAPDC1B
1.53E-38,-0.769083709,0.127,0.376,4.63E-34,b_cells,MEG3
1.63E-38,0.431481751,0.459,0.41,4.92E-34,b_cells,MT-ATP8
1.81E-38,-0.543168665,0.339,0.62,5.46E-34,b_cells,CD81
2.39E-38,0.509993292,0.418,0.343,7.21E-34,b_cells,RPL6
2.97E-38,0.42695349,0.429,0.425,8.96E-34,b_cells,SCAF11
3.07E-38,-0.619938829,0.147,0.406,9.27E-34,b_cells,LTBP3
3.16E-38,-0.649200127,0.094,0.334,9.55E-34,b_cells,MRC2
4.96E-38,0.593363086,0.123,0.06,1.50E-33,b_cells,AIM2
6.83E-38,-0.607808401,0.123,0.365,2.06E-33,b_cells,VKORC1
1.22E-37,-0.539922043,0.057,0.266,3.68E-33,b_cells,WBP5
1.27E-37,-0.622918456,0.061,0.272,3.83E-33,b_cells,HEXB
1.80E-37,-0.637352576,0.185,0.438,5.45E-33,b_cells,IFI6
1.81E-37,-0.527695395,0.09,0.312,5.46E-33,b_cells,RBMS1
2.10E-37,-0.481856906,0.125,0.346,6.33E-33,b_cells,CTSA
2.55E-37,-0.778248585,0.15,0.391,7.70E-33,b_cells,GADD45B
3.60E-37,-0.596827612,0.086,0.316,1.09E-32,b_cells,PAM
4.09E-37,-0.778405632,0.128,0.369,1.23E-32,b_cells,GPNMB
6.50E-37,0.659930631,0.106,0.018,1.96E-32,b_cells,ICOSLG
6.71E-37,-1.106829688,0.048,0.252,2.03E-32,b_cells,CD2
8.89E-37,0.330366162,0.475,0.512,2.69E-32,b_cells,RBM39
9.10E-37,-0.567516885,0.064,0.269,2.75E-32,b_cells,BCAT1
9.27E-37,0.715294636,0.306,0.166,2.80E-32,b_cells,SYNGR2
1.05E-36,-0.361201035,0.22,0.465,3.18E-32,b_cells,EID1
1.10E-36,-0.539541572,0.206,0.459,3.31E-32,b_cells,RBPJ
1.16E-36,-0.894328911,0.097,0.332,3.50E-32,b_cells,MT1X
1.21E-36,-0.498822659,0.103,0.329,3.66E-32,b_cells,LDHA
1.26E-36,-0.539618396,0.061,0.27,3.80E-32,b_cells,NGFRAP1
1.44E-36,-0.453121606,0.145,0.378,4.34E-32,b_cells,LGALS3BP
1.45E-36,0.705052669,0.143,0.028,4.37E-32,b_cells,HSH2D
1.56E-36,-0.508711622,0.174,0.429,4.72E-32,b_cells,OPTN
1.77E-36,-0.454326933,0.123,0.347,5.36E-32,b_cells,SERINC1
1.80E-36,0.70416336,0.196,0.094,5.45E-32,b_cells,DGKD
1.81E-36,0.808751667,0.279,0.127,5.47E-32,b_cells,CD83
